Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Loc_Plot_State2,Loc_Plot_City2,Date_Exposure,Plot_Target1,Plot_Target2,Plot_Target3,Attack_Preparation,Op_Security,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Terrorist_Group_Name1,Terrorist_Group_Name2,Terrorist_Group_Name3,Actively_Recruited,Recruiter1,Recruiter2,Recruiter3,Actively_Connect,Group_Competition,Role_Group,Length_Group,Clique,Clique_Radicalize,Clique_Connect,Internet_Radicalization,Media_Radicalization,Social_Media,Social_Media_Frequency,Social_Media_Platform1,Social_Media_Platform2,Social_Media_Platform3,Social_Media_Platform4,Social_Media_Platform5,Social_Media_Activities1,Social_Media_Activities2,Social_Media_Activities3,Social_Media_Activities4,Social_Media_Activities5,Social_Media_Activities6,Social_Media_Activities7,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Ideological_Sub_Category2,Ideological_Sub_Category3,Loc_Habitation_State1,Loc_Habitation_City1,Loc_Habitation_State2,Loc_Habitation_City2,Itinerant,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,US_Govt_Leader,Foreign_Govt_Leader,Event_Influence1,Event_Influence2,Event_Influence3,Event_Influence4,Beliefs_Trajectory,Behaviors_Trajectory,Radicalization_Sequence,Radicalization_Place,Prison_Radicalize,Broad_Ethnicity,Age,Marital_Status,Children,Age_Child,Gender,Religious_Background,Convert,Convert_Date,Reawakening,Reawakening_Date,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Language_English,Diaspora_Ties,Education,Student,Education_Change,Employment_Status,Change_Performance,Work_History,Military,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Aspirations,Abuse_Child,Abuse_Adult,Abuse_type1,Abuse_Type2,Abuse_Type3,Psychological,Alcohol_Drug,Absent_Parent,Overseas_Family,Close_Family,Family_Religiosity,Family_Ideology,Family_Ideological_Level,Prison_Family_Friend,Crime_Family_Friend,Radical_Friend,Radical_Family,Radical_Signif_Other,Relationship_Troubles,Platonic_Troubles,Unstructured_Time,Friendship_Source1,Friendship_Source2,Friendship_Source3,Kicked_Out,Previous_Criminal_Activity,Previous_Criminal_Activity_Type1,Previous_Criminal_Activity_Type2,Previous_Criminal_Activity_Type3,Previous_Criminal_Activity_Age,Gang,Gang_Age_Joined,Trauma,Other_Ideologies,Angry_US,Group_Grievance,Standing,Lat,Lon
7704,Florida,Ocala,,,8/11/2006,-88,,,-88,-88,-88,-88,-88,0,1,10,-88,-88,1,2,-88,,,1,1,,,0,0,3,12,1,1,0,-99,-99,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Florida,Ocala,,,0,0,1,10,1,0,0,0,,,,2,2,2,0,-88,3,32,1,0,-88,2,12,0,-88,0,-88,United States of America,1,United States of America,384,0,-88,-88,-88,5,0,-88,1,0,4,0,0,2,2,-99,0,0,-88,,,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,-99,,,0,2,6,8,15,1,0,-88,0,0,0,0,0,29.178,-82.1511
7705,Florida,Jacksonville,,,10/26/2016,-88,,,-88,-88,-88,-88,-88,0,0,0,-88,-88,1,2,Ku Klux Klan,,,0,-88,,,1,1,3,72,0,-88,-88,1,1,1,-99,1,,,,,1,2,3,,,,,0,1,0,0,2,,,Florida,Jacksonville,,,0,0,3,9,5,0,0,0,,,,1,1,1,0,-88,3,35,3,0,-88,2,11,0,-88,0,-88,United States of America,1,United States of America,420,0,-88,-88,-88,4,1,0,5,0,-88,1,0,2,1,1,0,0,-88,,,0,0,0,0,-99,-99,-99,-99,0,0,1,0,0,1,0,0,-99,,,0,0,-88,,,-88,0,-88,0,0,0,1,0,30.3322,-81.6749
7707,Wisconsin,Milwaukee,,,1/1/1988,14,,,0,1,0,0,0,5,1,10,-88,-88,1,3,Hammerskin Nation,White Aryan Resistance,World Church of the Creator,0,-88,,,1,-99,3,84,1,0,1,-88,1,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Wisconsin,Milwaukee,,,0,0,1,10,5,0,0,0,,,,2,2,3,0,-88,3,16,1,0,-88,2,-99,0,-88,0,-88,United States of America,1,United States of America,192,0,-88,-88,-88,2,0,-88,1,0,2,0,0,3,1,0,0,-88,-88,,,0,1,0,0,2,0,0,0,0,1,3,0,0,0,0,1,6,,,0,3,4,3,15,1,0,-88,0,0,0,1,0,43.0642,-87.9673
7709,Tennessee,Memphis,,,1/1/1978,-88,,,-88,-88,-88,-88,-88,0,0,0,-88,-88,1,3,Ku Klux Klan,,,1,1,,,1,-99,3,36,0,-88,-88,-88,0,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Tennessee,Memphis,,,0,0,2,5,3,0,0,0,,,,1,1,3,0,-88,3,19,2,0,-88,2,11,0,-88,0,-88,United States of America,1,United States of America,228,0,-88,-88,-88,4,0,-88,-88,0,-88,0,0,-99,-99,-99,2,0,2,3,,0,0,0,0,1,-99,0,0,-99,-99,-99,-99,-99,0,-99,-99,-99,,,0,0,-88,,,-88,0,-88,2,0,0,0,0,27.5435,-82.5607
7710,Florida,Lake Worth,,,2/1/2010,-88,,,-88,-88,-88,-88,-88,0,0,0,-88,-88,1,0,-88,,,0,-88,,,0,-88,-88,-88,0,-88,-88,1,1,1,-99,1,28,,,,1,2,3,,,,,0,1,0,0,2,,,Florida,Lake Worth,,,0,0,3,3,3,0,0,0,,,,1,1,1,0,-88,3,21,1,0,-88,2,11,0,-88,0,-88,United States of America,1,United States of America,252,0,-88,-88,-88,8,1,-99,5,-88,-88,0,0,1,2,3,0,0,-88,,,0,0,0,0,2,-99,2,3,-99,-99,-99,1,0,-99,0,-99,-99,,,0,0,-88,,,-88,0,-88,0,0,0,1,0,26.6195,-80.0591
7711,Indiana,Kokomo,,,7/4/2013,14,,,0,0,0,0,0,5,1,10,-99,4,1,3,Ku Klux Klan,,,1,2,,,0,0,2,-99,0,-88,-88,1,1,1,-99,-99,,,,,1,2,3,4,6,,,0,1,0,0,2,,,Indiana,Kokomo,,,0,0,3,10,4,0,0,0,,,,1,1,1,0,-99,3,22,1,0,-88,2,10,0,-88,0,-88,United States of America,1,United States of America,264,0,-88,-88,-88,1,0,-88,4,-88,1,0,0,2,1,0,0,0,-88,,,0,1,2,0,-99,1,2,3,-99,-99,3,1,0,0,0,1,6,,,0,2,-99,,,1,0,-88,0,0,0,0,0,40.464,-86.1277
7712,California,Bakersfield,Montana,Kalispell,1/1/2003,-88,,,-88,-88,-88,-88,-88,0,0,0,-88,-88,1,3,National Alliance,National Vanguard,,1,2,,,0,1,2,96,1,0,0,1,1,1,-99,13,,,,,2,3,4,,,,,0,1,0,0,2,,,California,Bakersfield,Montana,Kalispell,0,0,3,3,5,0,0,0,,,,1,1,1,0,0,3,10,1,0,-88,1,11,0,-88,0,-88,United States of America,1,United States of America,120,0,-88,-88,-88,1,1,0,5,0,-88,0,0,2,-88,0,0,-88,-88,,,0,0,2,0,2,-99,2,2,0,0,0,1,0,0,0,0,-99,,,0,0,-88,,,-88,0,-88,0,0,0,3,0,35.353,-119.0359
7713,California,Bakersfield,Montana,Kalispell,1/1/2003,-88,,,-88,-88,-88,-88,-88,0,0,0,-88,-88,1,3,National Alliance,National Vanguard,,1,2,,,0,1,2,96,1,0,0,1,1,1,-99,13,,,,,2,3,4,,,,,0,1,0,0,2,,,California,Bakersfield,Montana,Kalispell,0,0,3,3,5,0,0,0,,,,1,1,1,0,0,3,10,1,0,-88,1,11,0,-88,0,-88,United States of America,1,United States of America,120,0,-88,-88,-88,1,1,0,5,0,-88,0,0,2,-88,0,0,-88,-88,,,0,0,2,0,2,-99,2,2,0,0,0,1,0,0,0,0,-99,,,0,0,-88,,,-88,0,-88,0,0,0,3,0,35.353,-119.0359
7716,Michigan,Jackson,,,3/21/2010,-88,,,-88,-88,-88,-88,-88,0,0,0,-88,-88,1,3,Battalion 14,Connecticut White Wolves,,-99,-99,,,1,1,3,120,-99,-99,-99,0,0,-88,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Michigan,Jackson,,,0,0,3,3,3,0,0,0,,,,2,1,1,0,-99,3,36,2,5,7,2,-99,0,-88,0,-88,United States of America,1,United States of America,432,0,-88,-88,-88,-99,0,-88,1,-99,4,3,0,-99,1,1,0,0,-88,,,0,0,2,0,2,-99,2,1,-99,-99,1,0,1,0,0,-99,-99,,,0,-99,-99,,,-99,0,-88,3,0,0,0,0,43.3244,-88.1668
7719,Texas,Denison,,,1/1/1996,-88,,,-88,-88,-88,-88,-88,0,0,0,-88,-88,1,3,Combat 18,Blood and Honour,,-99,-99,,,-99,0,3,-99,0,-88,-88,1,1,0,-88,-88,,,,,-88,,,,,,,0,1,0,0,2,,,Oklahoma,Tahlequah,,,0,0,3,5,4,0,0,0,,,,-99,-99,-99,-99,-88,3,28,-99,-99,-99,2,11,-99,-99,-99,-99,United States of America,1,United States of America,444,0,-88,-88,-88,3,0,-88,2,-99,-99,-99,0,-99,-99,-99,0,0,-88,,,0,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,-99,,,-99,1,20,,,2,0,-88,-99,0,0,-99,-99,33.7672,-96.5807
9004,Tennessee,Nashville,,,10/8/2004,15,,,0,1,0,2,-99,2,1,5,2,4,1,0,-88,,,0,-88,,,0,-88,-88,-88,0,-88,-88,-99,0,-88,-88,-88,,,,,-88,,,,,,,1,0,0,0,11,,,Tennessee,Nashville,,,0,1,3,10,5,1,0,5,4,8,,2,2,1,-99,-88,4,33,1,-99,-99,2,5,0,-88,-99,-99,Iraq,3,Iraq,120,1,Iraq,-99,-99,-99,0,-88,1,-99,4,0,0,-99,1,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,-99,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,2,-99,35.9693,-77.9552
9006,New York,New York,Afghanistan,-99,6/24/1993,7,19,,2,-99,-99,3,-99,3,1,7,2,4,4,2,al-Qaeda core,,,-99,-99,,,2,-99,1,-99,1,0,-99,-88,-99,-88,-88,-88,,,,,-88,,,,,,,1,0,0,0,11,,,New York,New York,,,-99,1,3,10,5,-99,-99,-99,,,,2,2,3,1,-99,2,55,2,-99,-99,2,11,1,-99,0,-88,United States of America,1,United States of America,660,0,-88,-88,-88,-99,0,-88,1,-99,4,1,0,-99,2,-99,0,0,-88,,,0,0,-99,-99,-99,1,-99,-99,-99,-99,2,0,3,0,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,1,-99,-99,40.6943,-73.9249
9050,Texas,Austin,,,5/18/2012,-88,,,-88,-88,-88,-88,-88,0,0,3,2,4,4,1,Hezbollah,,,1,2,,,-99,-99,2,-99,1,-99,-99,-99,-99,-99,-99,-99,,,,,-99,,,,,,,1,0,0,0,11,,,-99,-99,,,-99,-99,-99,6,0,-99,-99,-99,,,,-99,-99,-99,-99,-99,4,35,2,1,1,2,-99,-99,-99,-99,-99,-99,-99,-99,420,1,Lebanon,-99,-99,-99,-99,-99,2,-99,4,-99,-99,-99,3,-99,0,0,-88,,,0,0,-99,1,2,-99,-99,-99,-99,-99,-99,2,0,0,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,-99,-99,-99,30.3006,-97.7517
9052,California,Riverside,,,11/16/2012,4,,,0,2,-99,-99,1,1,1,7,2,4,4,2,al-Qaeda core,Taliban,,1,3,,,2,-99,2,3,1,1,1,1,2,1,-99,1,3,11,,,1,2,6,,,,,1,0,0,0,11,,,California,Riverside,,,0,0,1,8,4,1,0,5,,,,2,2,3,1,-88,6,21,1,1,-99,2,-99,-99,-99,-99,-99,United States of America,1,United States of America,252,2,Vietnam,-88,-99,2,0,-88,3,-88,1,0,0,-99,-99,-99,1,0,1,,,0,1,0,0,1,-99,0,0,-99,-99,2,0,0,0,0,-99,4,,,-99,0,-88,,,-88,0,-88,-99,0,1,1,-99,48.5047,-119.5102
9053,California,Riverside,,,11/16/2012,4,,,0,2,-99,-99,1,1,1,7,2,4,4,2,al-Qaeda core,Taliban,,-99,-99,,,2,0,1,-99,1,0,1,1,1,1,-99,1,11,,,,1,2,3,6,,,,1,0,0,0,11,,,California,-99,,,1,-99,2,8,5,-99,-99,-99,,,,-99,-99,-99,-99,-99,1,21,1,0,-88,2,8,1,1/1/2010,-99,-99,Mexico,3,Mexico,-99,1,Mexico,1,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,-99,1,0,2,3,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,3,0,0,-99,-99,-99,-99,,,-99,-99,-99,,,-99,0,-88,-99,0,-99,-99,-99,48.5047,-119.5102
9054,California,Riverside,,,11/19/2012,4,,,0,2,-99,-99,1,1,1,7,2,4,4,2,al-Qaeda core,Taliban,,1,3,,,2,0,2,24,1,1,1,1,1,2,4,1,2,11,26,,1,2,3,6,,,,1,0,0,0,11,,,California,Ontario,,,0,0,2,8,5,0,0,0,,,,2,2,1,-99,-88,6,23,-99,-99,-99,2,8,2,1/1/2010,0,-88,Philippines,3,Philippines,120,1,Philippines,1,-99,5,1,-99,5,-99,-88,0,0,2,2,-99,0,0,-88,,,0,1,0,1,1,1,0,0,-99,-99,2,0,0,0,0,-99,-99,,,-99,0,-88,,,-88,0,-88,-99,0,0,-99,-99,48.5047,-119.5102
